lon,lat,name,number
9.26101964017744,45.5579851868321,Via Alberico Gentili,"10"
9.26114739350782,45.5579038854418,Via Alberico Gentili,"6"
9.26172436644135,45.555580303726,Via Barzago E Beretta,"5"
9.26129072531456,45.5556623058656,Viale Guglielmo Marconi,"85"
9.25720074839782,45.5554015292154,Via Giuseppe Saverio Mercadante,"31"
9.25467355495539,45.5557672152283,Via Giuseppe Saverio Mercadante,"48"
9.25531236091769,45.556071833957,Via Mogadiscio,"16"
9.25219464103455,45.5572623701918,Via Bettola,"6"
9.25347826537329,45.5574260575069,Via Lev Nikolaevic Tolstoj,"1"
9.25437004777163,45.5573565763863,Via Lev Nikolaevic Tolstoj,"13"
9.25550015749238,45.5572190386531,Via Lev Nikolaevic Tolstoj,"23"
9.25795047261794,45.5568400065025,Via Sant'alessandro,"38"
9.2562013653362,45.5571544698401,Via Sant'alessandro,46D
9.28736919704304,45.5669950960581,Via San Donato Di Arezzo,"21"
9.28927463091644,45.5645262629214,Via Giacomo Vignola,"30"
9.28597316989235,45.5652659004845,Via Michelangelo Buonarroti,"173"
9.284061195453,45.5669718480945,Via Santa Lucia,"4"
9.2803489689713,45.5639476702167,Viale Enrico Fermi,"33"
9.27356134462998,45.5611467742255,Viale Enrico Fermi,"107"
9.27075933300731,45.5666710401668,Piazza Podgora,"6"
9.26673378191723,45.5629495815632,Via Monte Santo,"9"
9.26789441692383,45.5604625876631,Via Dei Prati,"39"
9.26089379397978,45.5653753009391,Via Monte Pasubio,"1"
9.25922721813498,45.5652305688785,Viale Campania,"6"
9.26080652939613,45.564520401917,Via Aquileia,"5"
9.26186362254645,45.5648420298836,Via Jacopo Sansovino,"3"
9.2626052301028,45.5655199055667,Via Monte Pasubio,"7"
9.26588082268735,45.5658228823264,Via Fiume,"7"
9.26491470733988,45.5657801126828,Via Fiume,"3"
9.26599466076294,45.5643757370371,Via Monfalcone,"7"
9.26546211996577,45.5629795378606,Via Monte Santo,"3"
9.26520763377166,45.5630206336257,Via Monte Santo,"1"
